MRX-BR Pacifier |  Length: 25.0m
Imperial Customs Frigate |  Length: 35.0m
Guardian-Class Light Cruiser |  Length: 42.0m
Law-Class Light Patrol Craft |  Length: 51.0m
Burst Fire-Class Deep-Space Patrol Vessel |  Length: 60.0m
Corvette-Class Patrol Boat |  Length: 64.0m
Mother Grace |  Length: 67.5m
Jedi Justice Cruiser |  Length: 68.0m
YZ-2500 Heavy Transport |  Length: 70.0m
Far*Reach IV PQR |  Length: 80.0m
Trident-Class Surveyor Ship |  Length: 82.5m
Braha'Tok Class Gunship |  Length: 90.0m
GR75 transport |  Length: 90.0m
X-70B Phantom Class Prototype |  Length: 80.0m Height: 18.0m Width: 94.0m
Dimel Assault Ship |  Length: 95.0m
BT-7 Thunderclap |  Length: 96.0m Height: 80.0m Width: 61.0m
Dark Jedi Starship |  Length: 98.0m
Action VI transport |  Length: 100.0m
Crusader-Class Corvette |  Length: 100.0m Height: 40.0m Width: 30.0m
Fury-Class Interceptor |  Length: 100.0m Height: 33.0m Width: 88.0m
Mansk-Class Light Escort Frigate |  Length: 100.0m
Shu-Torun Royal Cruiser |  Length: 100.0m
Vibre-Class Assault Cruiser |  Length: 100.0m
IR-3F-Class Light Frigate |  Length: 110.0m
Warlord Dropship |  Length: 110.0m
MB-C1 medium transport |  Length: 113.0m
Chiss Combat Cruiser |  Length: 115.0m
Sphyrna Class corvette |  Length: 116.7m
Cosinga-Class Heavy Corvette |  Length: 120.0m
Crusader XX-777 prototype droid frigate |  Length: 120.0m
DP20 Frigate |  Length: 120.0m
First Order Dropship |  Length: 120.0m
IPV-1 Patrol Craft |  Length: 120.0m
Nau'ur-class yacht |  Height: 120.0m
BFF-1 bulk freighter |  Length: 120.9m Height: 34.0m Width: 75.56m
Etti-Class Light Cruiser |  Length: 125.0m
Imperial assault shuttle |  Length: 125.0m
Shaadlar-Type Troopship |  Length: 130.0m
Consular-class cruiser (Charger c70 Retrofit) |  Length: 138.55m
CR92a Corvette |  Length: 139.25m Height: 16.97m Width: 58.95m
Y-8 Mining Vessel |  Length: 80.0m Height: 140.0m Width: 30.0m
Deep Space Recovery Vessel L-2783 |  Length: 145.0m
Adz-Class Patrol Destroyer |  Length: 150.0m
CR90 Corvette |  Length: 150.0m Height: 32.6m Width: 48.6m
Hunter-Killer probot |  Height: 150.0m
Interceptor IV-class frigate |  Length: 150.0m
Kiltirin Class Dungeon Ship |  Length: 150.0m
Raider-Class Corvette |  Length: 150.0m
Republic executive shuttle |  Length: 150.0m Height: 32.6m Width: 48.6m
Foray-Class Blockade Runner |  Length: 155.0m
Axis sublight missile corvette |  Length: 160.0m
Minstrel-class space yacht |  Length: 160.0m
GS-100 salvage ship |  Length: 174.78m
Sabertooth Assault/Rescue Vessel |  Length: 175.0m
Imperial Customs Corvette |  Length: 180.0m
Imperial Transport |  Length: 180.0m
Praetorian-Class Frigate |  Length: 180.0m
Jehavey'ir-Type Assault Ship |  Length: 188.0m
Agave-Class Picket Ship |  Length: 190.0m
Warrior-class gunship |  Length: 190.0m
Marauder-Class Corvette |  Length: 195.0m Height: 22.0m Width: 131.0m
Mere Cruiser |  Length: 195.0m
Republic Transport |  Length: 195.0m
